Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,01/08/2018,1,Other,1500,1600,1550,
Akhnoor,02/08/2018,1,Other,1600,1700,1650,
Akhnoor,03/08/2018,1,Other,1500,1600,1550,
Akhnoor,04/08/2018,1,Other,1200,1300,1250,
Akhnoor,06/08/2018,1,Other,1400,1500,1450,
Akhnoor,07/08/2018,1,Other,1400,1500,1450,
Akhnoor,08/08/2018,1,Other,1400,1500,1450,
Akhnoor,09/08/2018,1,Other,1500,1600,1550,
Akhnoor,10/08/2018,1,Other,1400,1500,1450,
Akhnoor,11/08/2018,1,Other,1500,1600,1550,
Akhnoor,13/08/2018,1,Other,1500,1600,1550,
Akhnoor,14/08/2018,1,Other,1200,1400,1300,
Akhnoor,16/08/2018,1,Other,1200,1300,1250,
Akhnoor,18/08/2018,1,Other,1500,1600,1550,
Akhnoor,20/08/2018,1,Other,1300,1400,1350,
Akhnoor,21/08/2018,1,Other,1400,1500,1450,
Akhnoor,24/08/2018,1,Other,1200,1300,1250,
Akhnoor,25/08/2018,1,Other,1500,1600,1550,
Akhnoor,27/08/2018,1,Other,1500,1600,1550,
Akhnoor,28/08/2018,1,Other,1500,1600,1550,
Akhnoor,29/08/2018,1,Other,1500,1600,1550,
Akhnoor,30/08/2018,1,Other,1500,1600,1550,
Kathua,01/08/2018,1.8,Other,1500,1700,1600,
Kathua,02/08/2018,1.5,Other,1500,1700,1600,
Kathua,03/08/2018,1.4,Other,1500,1700,1600,
Kathua,06/08/2018,1.8,Other,1500,1700,1600,
Kathua,08/08/2018,2,Other,1600,1800,1700,
Kathua,09/08/2018,3.5,Other,1500,1700,1600,
Kathua,13/08/2018,4,Other,1500,1700,1600,
Kathua,14/08/2018,5,Other,1400,1800,1600,
Kathua,16/08/2018,4,Other,1400,1800,1600,
Kathua,18/08/2018,4.5,Other,1400,1800,1600,
Kathua,20/08/2018,4.8,Other,1400,1800,1600,
Narwal Jammu (F&V),01/08/2018,130,Other,1000,1100,1050,
Narwal Jammu (F&V),03/08/2018,130,Other,1000,1100,1050,
Narwal Jammu (F&V),06/08/2018,140,Other,800,900,850,
Narwal Jammu (F&V),09/08/2018,150,Other,800,900,850,
Narwal Jammu (F&V),10/08/2018,150,Other,800,900,850,
Narwal Jammu (F&V),11/08/2018,150,Other,800,900,850,
Narwal Jammu (F&V),14/08/2018,170,Other,800,900,850,
Narwal Jammu (F&V),17/08/2018,170,Other,800,900,850,
Narwal Jammu (F&V),18/08/2018,170,Other,800,900,850,
