Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Baikunthpur,31/12/2018,0.8,Mustard,3000,3000,3000,
Baramkela,01/12/2018,2.85, ,NR,NR,NR,
Bhatapara,01/12/2018,2.4, ,NR,NR,NR,
Bhatapara,04/12/2018,1.9,Other,3700,3746,3710,
Bhatapara,05/12/2018,0.6,Other,3750,3850,3775,
Bhatapara,06/12/2018,0.2, ,NR,NR,NR,
Bhatapara,07/12/2018,3.1,Other,3150,3792,3730,
Bhatapara,08/12/2018,8,Other,3661,3852,3828,
Bhatapara,10/12/2018,1,Other,3651,3799,3726,
Bhatapara,12/12/2018,0.3, ,NR,NR,NR,
Bhatapara,13/12/2018,1.2, ,NR,NR,NR,
Bhatapara,14/12/2018,0.2,Other,3500,3500,3500,
Bhatapara,15/12/2018,2.7,Other,3571,3791,3751,
Bhatapara,21/12/2018,1.3, ,NR,NR,NR,
Bhatapara,22/12/2018,1,Other,3550,3665,3660,
Bhatapara,24/12/2018,1.5,Other,3500,3676,3625,
Bhatapara,26/12/2018,1.7,Other,3195,3675,3645,
Bhatapara,27/12/2018,0.05,Other,3500,3740,3625,
Bhatapara,28/12/2018,0.7,Other,3600,3700,3675,
Bhatapara,29/12/2018,3.1,Other,3600,3741,3670,
Katghora,31/12/2018,16,Other,4200,4200,4200,
Kota,04/12/2018,8.2,Mustard,3200,3200,3200,
Rajnandgaon,04/12/2018,0.8, ,NR,NR,NR,
Rajnandgaon,05/12/2018,1.2, ,NR,NR,NR,
Rajnandgaon,06/12/2018,0.1,Mustard,3202,3202,3202,
Rajnandgaon,07/12/2018,0.3,Mustard,3196,3196,3196,
Rajnandgaon,08/12/2018,0.2,Mustard,3270,3270,3270,
Rajnandgaon,10/12/2018,0.1,Mustard,3000,3180,3000,
Rajnandgaon,11/12/2018,0.1,Mustard,3501,3501,3501,
Rajnandgaon,24/12/2018,0.3,Mustard,3226,3351,3226,
Rajnandgaon,26/12/2018,0.1,Mustard,3326,3326,3326,
Rajpur,22/12/2018,1,Other,3500,3500,3500,
