Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,03/10/2018,14.5,Gwar,3490,3580,3490,
,04/10/2018,14,Gwar,3400,3990,3700,
,05/10/2018,14.5, ,NR,NR,NR,
,09/10/2018,12.5,Gwar,3515,3900,3700,
,10/10/2018,20.8,Gwar,3470,3955,3720,
,11/10/2018,27.8,Gwar,3600,3950,3780,
,12/10/2018,30,Gwar,3350,3950,3650,
,15/10/2018,55.6,Gwar,3600,4151,3810,
,16/10/2018,62.1, ,NR,NR,NR,
,17/10/2018,35.5, ,NR,NR,NR,
,18/10/2018,36,Gwar,3805,4340,4050,
,22/10/2018,40, ,NR,NR,NR,
,23/10/2018,31.8, ,NR,NR,NR,
,24/10/2018,22.1,Gwar,4145,4420,4275,
,25/10/2018,35,Gwar,4170,4470,4280,
Muktsar,02/10/2018,0.4,Gwar,1200,1400,1300,
,05/10/2018,0.4, ,NR,NR,NR,
,06/10/2018,0.4, ,NR,NR,NR,
,08/10/2018,0.4, ,NR,NR,NR,
