2008-03-13,2008-04-24,INFLATIOn
2008-12-20,2009-01-31,FUEL-TRANSPORT
2009-06-16,2009-07-28,HOARDING
2009-12-21,2010-02-01,INFLATIOn
2010-12-18,2011-01-29,HOARDING
2011-04-07,2011-05-20,no
2012-03-14,2012-04-25,HOARDING
2015-03-20,2015-05-01,HOARDING
2016-12-09,2017-01-20,INFLATIOn
2017-03-05,2017-04-17,no
2017-03-26,2017-05-07,HOARDING
2007-12-12,2008-01-23,supply
2008-03-08,2008-04-20,no
2008-04-26,2008-06-07,supply
2008-12-25,2009-02-05,supply
2010-03-01,2010-04-12,supply
2010-12-12,2011-01-23,supply
2011-04-07,2011-05-20,no
2011-12-03,2012-01-14,supply
2012-05-09,2012-06-21,no
2013-12-13,2014-01-24,supply
2014-05-16,2014-06-28,no
2014-12-30,2015-02-10,supply
2017-02-22,2017-04-05,supply
2017-12-11,2018-01-22,supply
2018-04-21,2018-06-03,no
2018-06-11,2018-07-24,no
